"country_of_origin" "count" "highest_score" "lowest_score" "mean_score" "long" "lat" "group" "order" "subregion"
"197" "Brazil" 132 88.83 70.67 82.4059090909091 -50.3394546508789 0.0433591529726982 14 288 "Ilha Caviana"
"198" "Brazil" 132 88.83 70.67 82.4059090909091 -50.3451156616211 0.134472623467445 14 289 "Ilha Caviana"
"199" "Brazil" 132 88.83 70.67 82.4059090909091 -50.2726593017578 0.231738492846489 14 290 "Ilha Caviana"
"200" "Brazil" 132 88.83 70.67 82.4059090909091 -50.1279792785645 0.22651369869709 14 291 "Ilha Caviana"
"201" "Brazil" 132 88.83 70.67 82.4059090909091 -49.8790016174316 0.304540812969208 14 292 "Ilha Caviana"
"202" "Brazil" 132 88.83 70.67 82.4059090909091 -49.7382316589355 0.268164306879044 14 293 "Ilha Caviana"
"203" "Brazil" 132 88.83 70.67 82.4059090909091 -50.4261207580566 0.139257967472076 15 295 "14"
"204" "Brazil" 132 88.83 70.67 82.4059090909091 -50.4439468383789 -0.00766617525368929 15 296 "14"
"205" "Brazil" 132 88.83 70.67 82.4059090909091 -50.6239242553711 0.0543943233788013 15 297 "14"
"206" "Brazil" 132 88.83 70.67 82.4059090909091 -50.6104469299316 0.204785421490669 15 298 "14"
"207" "Brazil" 132 88.83 70.67 82.4059090909091 -50.5262222290039 0.246923610568047 15 299 "14"
"208" "Brazil" 132 88.83 70.67 82.4059090909091 -50.4515609741211 0.326904505491257 15 300 "14"
"209" "Brazil" 132 88.83 70.67 82.4059090909091 -50.4260749816895 0.42495134472847 15 301 "14"
"210" "Brazil" 132 88.83 70.67 82.4059090909091 -50.424560546875 0.558251678943634 15 302 "14"
"211" "Brazil" 132 88.83 70.67 82.4059090909091 -50.3968734741211 0.581396341323853 15 303 "14"
"212" "Brazil" 132 88.83 70.67 82.4059090909091 -50.3727531433105 0.590869069099426 15 304 "14"
"213" "Brazil" 132 88.83 70.67 82.4059090909091 -50.3509750366211 0.581738352775574 15 305 "14"
"214" "Brazil" 132 88.83 70.67 82.4059090909091 -50.342529296875 0.381591618061066 15 306 "14"
"215" "Brazil" 132 88.83 70.67 82.4059090909091 -50.332275390625 0.25903308391571 15 307 "14"
"216" "Brazil" 132 88.83 70.67 82.4059090909091 -50.4261207580566 0.139257967472076 15 308 "14"
"217" "Brazil" 132 88.83 70.67 82.4059090909091 -50.1529273986816 0.393017530441284 16 310 "Ilha Janaucu"
"218" "Brazil" 132 88.83 70.67 82.4059090909091 -50.2613258361816 0.359179794788361 16 311 "Ilha Janaucu"
"219" "Brazil" 132 88.83 70.67 82.4059090909091 -50.2815437316895 0.390820235013962 16 312 "Ilha Janaucu"
"220" "Brazil" 132 88.83 70.67 82.4059090909091 -50.2816886901855 0.516503691673279 16 313 "Ilha Janaucu"
"221" "Brazil" 132 88.83 70.67 82.4059090909091 -50.2511711120605 0.585449397563934 16 314 "Ilha Janaucu"
"222" "Brazil" 132 88.83 70.67 82.4059090909091 -50.11279296875 0.604736328125 16 315 "Ilha Janaucu"
"223" "Brazil" 132 88.83 70.67 82.4059090909091 -50.0986328125 0.62500011920929 16 316 "Ilha Janaucu"
"224" "Brazil" 132 88.83 70.67 82.4059090909091 -50.058837890625 0.638037204742432 16 317 "Ilha Janaucu"
"225" "Brazil" 132 88.83 70.67 82.4059090909091 -50.0368156433105 0.594824135303497 16 318 "Ilha Janaucu"
"226" "Brazil" 132 88.83 70.67 82.4059090909091 -50.0400390625 0.522802770137787 16 319 "Ilha Janaucu"
"227" "Brazil" 132 88.83 70.67 82.4059090909091 -50.1529273986816 0.393017530441284 16 320 "Ilha Janaucu"
"228" "Brazil" 132 88.83 70.67 82.4059090909091 -50.2989730834961 1.93852531909943 17 322 "Ilha de Maraca"
"229" "Brazil" 132 88.83 70.67 82.4059090909091 -50.3987808227539 1.89287102222443 17 323 "Ilha de Maraca"
